IPAddress,Finished,F_SEX,AGE,F_AGECAT,RACE,DATAUSEa_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49
73.253.107.54,TRUE,Female,20,18-29,Asian or Asian American,Unacceptable,Unsure,Unsure,Acceptable
71.227.0.2,TRUE,Female,20,18-29,"White,Asian or Asian American",Unacceptable,Unacceptable,Acceptable,Unsure
65.17.182.8,TRUE,Male,20,18-29,White,Unacceptable,Acceptable,Unsure,Acceptable
174.226.16.92,TRUE,Female,20,18-29,"Hispanic or Latino,Black or African American,American Indian or Alaska Native",Unacceptable,Acceptable,Acceptable,Acceptable
47.157.86.99,TRUE,Male,20,18-29,"Hispanic or Latino,Black or African American",Unacceptable,Unacceptable,Unacceptable,Unacceptable
184.20.77.173,TRUE,Male,20,18-29,Black or African American,Unacceptable,Unsure,Acceptable,Acceptable
24.45.233.59,TRUE,Male,20,18-29,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Unsure
107.77.193.43,TRUE,Female,20,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
108.5.254.106,TRUE,Male,20,18-29,White,Acceptable,Unacceptable,Unacceptable,Acceptable
68.8.140.231,TRUE,Male,20,18-29,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Unacceptable
71.222.6.193,TRUE,Male,20,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Unsure
73.119.244.110,TRUE,Male,20,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
69.160.183.247,TRUE,Male,20,18-29,American Indian or Alaska Native,Acceptable,Acceptable,Acceptable,Acceptable
71.176.124.89,TRUE,Male,20,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
74.88.77.64,TRUE,Female,21,18-29,Black or African American,Unsure,Unsure,Acceptable,Unacceptable
70.124.127.11,TRUE,Male,21,18-29,Hispanic or Latino,Unsure,Unsure,Acceptable,Acceptable
68.193.82.118,TRUE,Female,21,18-29,Black or African American,Unsure,Unacceptable,Unsure,Acceptable
107.203.209.182,TRUE,Male,21,18-29,Asian or Asian American,Unsure,Unsure,Acceptable,Unsure
71.15.99.80,TRUE,Male,21,18-29,Asian or Asian American,Unsure,Unsure,Unsure,Unsure
108.26.121.246,TRUE,Male,21,18-29,White,Unsure,Unacceptable,Unsure,Acceptable
47.205.140.114,TRUE,Male,21,18-29,White,Unsure,Acceptable,Acceptable,Unsure
108.6.48.36,TRUE,Male,21,18-29,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Acceptable
172.58.228.174,TRUE,Female,21,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unsure
76.97.133.44,TRUE,Female,21,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Acceptable
174.196.131.76,TRUE,Male,21,18-29,Prefer not to answer,Unacceptable,Unacceptable,Unsure,Unacceptable
104.32.243.211,TRUE,Female,21,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
173.173.64.234,TRUE,Male,21,18-29,"White,American Indian or Alaska Native",Unacceptable,Acceptable,Unacceptable,Unsure
24.180.155.80,TRUE,Male,21,18-29,Other,Unacceptable,Acceptable,Unsure,Unacceptable
73.237.137.42,TRUE,Male,21,18-29,Asian or Asian American,Unacceptable,Unsure,Unsure,Unacceptable
174.204.135.93,TRUE,Male,21,18-29,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
99.132.65.121,TRUE,Male,21,18-29,Asian or Asian American,Unacceptable,Acceptable,Acceptable,Acceptable
73.32.234.11,TRUE,Male,21,18-29,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Acceptable
69.221.238.137,TRUE,Female,21,18-29,White,Acceptable,Unacceptable,Acceptable,Acceptable
24.47.2.6,TRUE,Female,21,18-29,Black or African American,Acceptable,Unacceptable,Unacceptable,Acceptable
166.216.159.70,TRUE,Female,21,18-29,White,Acceptable,Acceptable,Unsure,Unsure
107.77.241.26,TRUE,Female,21,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
24.185.57.238,TRUE,Female,21,18-29,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Unacceptable
71.168.194.34,TRUE,Male,21,18-29,White,Acceptable,Unsure,Unsure,Unacceptable
98.151.44.177,TRUE,Female,21,18-29,Asian or Asian American,Acceptable,Acceptable,Unsure,Acceptable
174.44.97.21,TRUE,Male,21,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
108.80.98.116,TRUE,Male,21,18-29,Hispanic or Latino,Acceptable,Unacceptable,Unsure,Unsure
172.58.78.132,TRUE,Male,21,18-29,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Acceptable
99.203.68.163,TRUE,Male,21,18-29,Black or African American,Acceptable,Unacceptable,Acceptable,Acceptable
108.240.63.49,TRUE,Male,22,18-29,White,Unsure,Acceptable,Unsure,Unsure
173.28.178.192,TRUE,Female,22,18-29,White,Unsure,Acceptable,Acceptable,Acceptable
107.77.206.102,TRUE,Male,22,18-29,White,Unsure,Unacceptable,Unacceptable,Unsure
172.58.228.110,TRUE,Male,22,18-29,Black or African American,Unsure,Acceptable,Acceptable,Acceptable
45.17.188.22,TRUE,Female,22,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unsure,Unacceptable
24.14.197.17,TRUE,Female,22,18-29,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
72.70.34.223,TRUE,Male,22,18-29,Native Hawaiian or Pacific Islander,Unacceptable,Acceptable,Acceptable,Unacceptable
67.161.168.2,TRUE,Male,22,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
99.203.16.190,TRUE,Male,22,18-29,"Hispanic or Latino,White,Black or African American",Unacceptable,Unacceptable,Unacceptable,Unacceptable
47.39.245.1,TRUE,Male,22,18-29,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unsure
174.217.0.152,TRUE,Male,22,18-29,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
172.115.135.11,TRUE,Male,22,18-29,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Unacceptable
72.206.43.236,TRUE,Female,22,18-29,American Indian or Alaska Native,Acceptable,Unacceptable,Acceptable,Acceptable
99.203.64.235,TRUE,Female,22,18-29,Black or African American,Acceptable,Unacceptable,Unacceptable,Acceptable
99.52.74.174,TRUE,Female,22,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
173.69.173.231,TRUE,Male,22,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
67.85.78.31,TRUE,Female,22,18-29,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Unsure
74.68.90.44,TRUE,Male,22,18-29,White,Acceptable,Acceptable,Acceptable,Unacceptable
71.85.209.253,TRUE,Male,22,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
107.77.199.22,TRUE,Female,23,18-29,White,Unsure,Unsure,Unsure,Unsure
24.5.35.113,TRUE,Male,23,18-29,Asian or Asian American,Unsure,Unsure,Unsure,Unsure
98.150.165.237,TRUE,Female,23,18-29,Native Hawaiian or Pacific Islander,Unsure,Acceptable,Unsure,Unacceptable
174.109.16.78,TRUE,Male,23,18-29,Hispanic or Latino,Unsure,Unacceptable,Acceptable,Unsure
108.197.81.52,TRUE,Male,23,18-29,Hispanic or Latino,Unsure,Unacceptable,Unsure,Acceptable
174.16.50.137,TRUE,Male,23,18-29,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Acceptable
162.192.3.215,TRUE,Male,23,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Acceptable
108.184.207.26,TRUE,Male,23,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Unacceptable
108.79.249.170,TRUE,Female,23,18-29,Black or African American,Acceptable,Unsure,Acceptable,Acceptable
45.46.205.145,TRUE,Male,23,18-29,White,Acceptable,Acceptable,Unsure,Unacceptable
24.193.21.124,TRUE,Male,23,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
174.219.27.194,TRUE,Male,23,18-29,Hispanic or Latino,Acceptable,Unsure,Acceptable,Acceptable
173.92.188.107,TRUE,Female,24,18-29,White,Unsure,Unsure,Unsure,Unsure
71.217.81.151,TRUE,Male,24,18-29,Black or African American,Unsure,Acceptable,Unsure,Unsure
73.93.131.169,TRUE,Male,24,18-29,Asian or Asian American,Unsure,Acceptable,Unsure,Acceptable
68.109.45.161,TRUE,Female,24,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Acceptable
67.246.53.191,TRUE,Female,24,18-29,White,Unacceptable,Unsure,Unacceptable,Acceptable
70.189.56.207,TRUE,Male,24,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
67.81.68.113,TRUE,Female,24,18-29,Asian or Asian American,Acceptable,Unsure,Acceptable,Unacceptable
107.242.113.62,TRUE,Female,24,18-29,Hispanic or Latino,Acceptable,Unacceptable,Unacceptable,Unacceptable
75.137.253.202,TRUE,Female,24,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
71.47.181.113,TRUE,Female,24,18-29,"Hispanic or Latino,White",Acceptable,Acceptable,Unsure,Acceptable
206.255.69.89,TRUE,Male,24,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
24.4.191.243,TRUE,Male,24,18-29,Asian or Asian American,Acceptable,Unsure,Unacceptable,Unsure
97.104.11.224,TRUE,Male,24,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Unsure
73.204.245.249,TRUE,Male,24,18-29,Black or African American,Acceptable,Unacceptable,Acceptable,Acceptable
66.69.228.17,TRUE,Male,25,18-29,Black or African American,Unsure,Unsure,Unsure,Acceptable
98.207.5.231,TRUE,Female,25,18-29,Asian or Asian American,Unsure,Acceptable,Acceptable,Acceptable
73.180.134.236,TRUE,Male,25,18-29,White,Unsure,Acceptable,Acceptable,Unsure
71.197.174.54,TRUE,Male,25,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
69.118.35.150,TRUE,Female,25,18-29,Hispanic or Latino,Unsure,Acceptable,Unsure,Acceptable
71.175.168.237,TRUE,Male,25,18-29,White,Unsure,Unacceptable,Unsure,Unsure
172.58.121.235,TRUE,Male,25,18-29,Black or African American,Unsure,Unsure,Unsure,Unsure
73.104.46.136,TRUE,Female,25,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Acceptable
76.114.24.91,TRUE,Female,25,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unsure,Unsure
174.28.31.58,TRUE,Female,25,18-29,Black or African American,Unacceptable,Unacceptable,Acceptable,Unacceptable
50.24.1.201,TRUE,Male,25,18-29,White,Unacceptable,Acceptable,Acceptable,Acceptable
98.101.30.138,TRUE,Female,25,18-29,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unsure
184.62.198.173,TRUE,Male,25,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
71.81.94.16,TRUE,Male,25,18-29,Black or African American,Unacceptable,Acceptable,Unsure,Acceptable
174.61.47.248,TRUE,Male,25,18-29,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
70.188.48.186,TRUE,Male,25,18-29,Black or African American,Unacceptable,Unsure,Acceptable,Unacceptable
67.100.47.186,TRUE,Male,25,18-29,White,Unacceptable,Unacceptable,Unsure,Unsure
99.132.141.198,TRUE,Female,25,18-29,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Acceptable
73.239.166.224,TRUE,Female,25,18-29,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Acceptable
71.80.178.10,TRUE,Female,25,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
24.120.111.177,TRUE,Female,25,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Unacceptable
70.189.83.201,TRUE,Male,25,18-29,Black or African American,Acceptable,Unsure,Unsure,Acceptable
68.110.147.183,TRUE,Male,25,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
74.136.47.219,TRUE,Male,25,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
69.181.44.86,TRUE,Female,26,18-29,White,Unsure,Acceptable,Acceptable,Unsure
174.227.132.129,TRUE,Male,26,18-29,White,Unsure,Unsure,Unsure,Unsure
104.59.59.94,TRUE,Male,26,18-29,Hispanic or Latino,Unsure,Unsure,Unacceptable,Acceptable
69.136.99.49,TRUE,Male,26,18-29,"Hispanic or Latino,Black or African American",Unsure,Acceptable,Acceptable,Unacceptable
74.79.98.58,FALSE,Female,26,18-29,Black or African American,Unsure,Unsure,Unsure,Acceptable
98.215.20.230,TRUE,Male,26,18-29,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
104.138.142.50,TRUE,Male,26,18-29,Black or African American,Unacceptable,Unacceptable,Acceptable,Unacceptable
98.194.236.202,TRUE,Female,26,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Acceptable
107.15.226.230,TRUE,Male,26,18-29,"Black or African American,Native Hawaiian or Pacific Islander",Unacceptable,Acceptable,Acceptable,Unacceptable
69.251.62.208,TRUE,Female,26,18-29,Black or African American,Unacceptable,Acceptable,Unacceptable,Unacceptable
172.58.28.211,TRUE,Female,26,18-29,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unsure,Unacceptable
72.176.237.137,TRUE,Female,26,18-29,"White,Asian or Asian American",Unacceptable,Acceptable,Acceptable,Unacceptable
98.15.241.107,TRUE,Male,26,18-29,White,Unacceptable,Unacceptable,Unsure,Unacceptable
98.159.83.129,TRUE,Male,26,18-29,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
172.115.231.252,TRUE,Male,26,18-29,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Acceptable
71.62.201.14,TRUE,Female,26,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
24.5.227.73,TRUE,Male,26,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Unacceptable
74.193.200.242,TRUE,Female,26,18-29,Hispanic or Latino,Acceptable,Unacceptable,Unacceptable,Acceptable
174.230.5.176,TRUE,Female,26,18-29,"Hispanic or Latino,Black or African American,Asian or Asian American,American Indian or Alaska Native",Acceptable,Unacceptable,Unacceptable,Acceptable
99.109.109.35,TRUE,Female,26,18-29,"White,Asian or Asian American",Acceptable,Acceptable,Acceptable,Unacceptable
174.228.140.94,TRUE,Male,26,18-29,Hispanic or Latino,Acceptable,Unsure,Unacceptable,Acceptable
107.77.241.5,TRUE,Female,26,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
173.63.88.161,TRUE,Male,26,18-29,Hispanic or Latino,Acceptable,Acceptable,Unacceptable,Acceptable
74.78.24.136,TRUE,Female,27,18-29,Black or African American,Unsure,Unsure,Acceptable,Unsure
38.80.144.14,TRUE,Female,27,18-29,"Hispanic or Latino,White,Black or African American",Unsure,Unsure,Unacceptable,Unsure
76.20.201.40,TRUE,Female,27,18-29,"Black or African American,Asian or Asian American",Unsure,Unsure,Acceptable,Acceptable
73.63.211.75,TRUE,Female,27,18-29,Asian or Asian American,Unsure,Unacceptable,Unsure,Unsure
172.220.225.162,TRUE,Male,27,18-29,White,Unsure,Unacceptable,Acceptable,Acceptable
174.240.3.149,TRUE,Male,27,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Unacceptable
107.77.232.224,TRUE,Female,27,18-29,Black or African American,Unacceptable,Unsure,Unsure,Unsure
142.129.70.196,TRUE,Female,27,18-29,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Acceptable
172.116.16.10,TRUE,Female,27,18-29,"Hispanic or Latino,White",Unacceptable,Acceptable,Acceptable,Acceptable
24.176.102.84,TRUE,Female,27,18-29,Hispanic or Latino,Unacceptable,Unsure,Unsure,Unsure
65.190.180.102,TRUE,Male,27,18-29,Black or African American,Unacceptable,Acceptable,Unacceptable,Acceptable
67.8.98.205,TRUE,Female,27,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
99.147.120.170,TRUE,Female,27,18-29,Black or African American,Acceptable,Unacceptable,Unsure,Acceptable
68.175.11.0,TRUE,Female,27,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
107.205.251.11,TRUE,Female,27,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
98.230.20.217,TRUE,Female,27,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
66.108.127.0,TRUE,Female,27,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
67.141.34.128,TRUE,Female,27,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Unsure
24.3.195.122,TRUE,Male,27,18-29,Other,Acceptable,Acceptable,Acceptable,Unsure
71.37.213.85,TRUE,Male,27,18-29,White,Acceptable,Acceptable,Unacceptable,Acceptable
174.109.70.128,TRUE,Female,28,18-29,Asian or Asian American,Unsure,Acceptable,Unsure,Unacceptable
98.242.201.129,TRUE,Female,28,18-29,White,Unsure,Acceptable,Unsure,Acceptable
142.197.161.16,TRUE,Male,28,18-29,Hispanic or Latino,Unsure,Acceptable,Acceptable,Unacceptable
71.176.17.179,TRUE,Female,28,18-29,Asian or Asian American,Unsure,Unsure,Unacceptable,Unsure
70.104.161.110,TRUE,Female,28,18-29,White,Unsure,Unsure,Unsure,Acceptable
172.58.139.140,TRUE,Male,28,18-29,Black or African American,Unsure,Unsure,Unsure,Unsure
74.192.238.37,FALSE,Male,28,18-29,White,Unsure,Acceptable,Unacceptable,Unacceptable
100.2.206.121,TRUE,Male,28,18-29,White,Unacceptable,Acceptable,Unacceptable,Unacceptable
69.92.233.9,TRUE,Female,28,18-29,Other,Unacceptable,Unacceptable,Unacceptable,Unacceptable
24.59.243.218,TRUE,Male,28,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Unacceptable
76.97.213.7,TRUE,Male,28,18-29,White,Unacceptable,Unacceptable,Acceptable,Unacceptable
99.30.21.238,TRUE,Male,28,18-29,Black or African American,Unacceptable,Unacceptable,Acceptable,Acceptable
73.13.39.127,TRUE,Male,28,18-29,White,Unacceptable,Acceptable,Unsure,Acceptable
68.99.33.132,TRUE,Male,28,18-29,Black or African American,Unacceptable,Unacceptable,Unacceptable,Acceptable
64.56.4.108,TRUE,Male,28,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
100.0.20.165,TRUE,Male,28,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
70.120.170.128,TRUE,Female,28,18-29,Hispanic or Latino,Acceptable,Unacceptable,Unsure,Acceptable
173.51.177.194,TRUE,Female,28,18-29,Black or African American,Acceptable,Acceptable,Unsure,Acceptable
73.152.190.222,TRUE,Male,28,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
71.139.55.52,TRUE,Female,28,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
73.110.27.252,TRUE,Female,28,18-29,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Unsure
104.145.223.244,TRUE,Female,28,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Unacceptable
174.240.138.130,TRUE,Female,28,18-29,Black or African American,Acceptable,Unacceptable,Acceptable,Acceptable
73.144.219.168,TRUE,Male,28,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
74.71.96.175,TRUE,Female,28,18-29,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Unacceptable
47.153.209.35,TRUE,Male,28,18-29,"Hispanic or Latino,White",Acceptable,Unacceptable,Acceptable,Acceptable
64.56.4.108,TRUE,Male,28,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
174.255.6.52,TRUE,Female,29,18-29,White,Unsure,Unsure,Unsure,Unacceptable
172.58.154.78,TRUE,Female,29,18-29,White,Unsure,Unsure,Unacceptable,Acceptable
96.232.236.48,TRUE,Male,29,18-29,Hispanic or Latino,Unsure,Unacceptable,Acceptable,Acceptable
216.158.243.13,TRUE,Male,29,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Acceptable
172.58.140.22,TRUE,Female,29,18-29,Hispanic or Latino,Unsure,Acceptable,Acceptable,Acceptable
100.10.9.204,TRUE,Male,29,18-29,Other,Unsure,Unsure,Unsure,Unsure
76.175.149.81,TRUE,Male,29,18-29,White,Unsure,Unacceptable,Unacceptable,Unsure
173.23.222.167,TRUE,Male,29,18-29,"Hispanic or Latino,Black or African American",Unacceptable,Acceptable,Acceptable,Acceptable
108.71.176.197,TRUE,Female,29,18-29,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unacceptable,Acceptable
73.15.161.38,TRUE,Male,29,18-29,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
108.207.127.204,TRUE,Male,29,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
73.1.150.50,TRUE,Male,29,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Unacceptable
99.203.33.49,TRUE,Male,29,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Unsure,Unacceptable
98.246.91.217,FALSE,Female,29,18-29,"White,Asian or Asian American",Unacceptable,Acceptable,Acceptable,Unsure
24.60.217.196,TRUE,Female,29,18-29,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Unacceptable
206.198.168.254,TRUE,Female,29,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
71.172.64.124,TRUE,Male,29,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
174.253.84.58,TRUE,Male,29,18-29,"Hispanic or Latino,Black or African American",Acceptable,Acceptable,Acceptable,Acceptable
68.250.41.13,TRUE,Male,29,18-29,Hispanic or Latino,Acceptable,Acceptable,Unacceptable,Acceptable
64.147.36.234,TRUE,Female,30,30-49,White,Unsure,Unsure,Unsure,Unsure
70.93.252.182,TRUE,Prefer not to answer,30,30-49,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
73.55.165.110,TRUE,Female,30,30-49,Hispanic or Latino,Unsure,Acceptable,Unsure,Unsure
108.233.143.22,TRUE,Female,30,30-49,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Unacceptable
174.197.206.110,TRUE,Female,30,30-49,White,Unacceptable,Unsure,Unacceptable,Unacceptable
99.203.41.144,TRUE,Female,30,30-49,Native Hawaiian or Pacific Islander,Unacceptable,Unacceptable,Unacceptable,Unacceptable
98.214.193.136,TRUE,Male,30,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
24.193.66.203,TRUE,Female,30,30-49,White,Unacceptable,Unacceptable,Acceptable,Unacceptable
99.94.172.170,TRUE,Female,30,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unsure
76.122.51.171,TRUE,Male,30,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Acceptable
76.118.246.46,TRUE,Male,30,30-49,White,Unacceptable,Acceptable,Acceptable,Acceptable
75.58.176.203,TRUE,Male,30,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unacceptable,Acceptable
169.234.245.186,TRUE,Male,30,30-49,White,Unacceptable,Unacceptable,Unsure,Acceptable
136.160.141.242,TRUE,Female,30,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
99.83.2.86,TRUE,Female,30,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
68.180.78.21,TRUE,Female,30,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
108.95.172.17,TRUE,Female,30,30-49,White,Acceptable,Unacceptable,Acceptable,Unacceptable
24.242.26.183,TRUE,Male,30,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Acceptable
98.211.194.10,TRUE,Male,30,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Acceptable
75.65.216.166,TRUE,Male,30,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
96.231.1.205,TRUE,Female,31,30-49,Hispanic or Latino,Unsure,Acceptable,Unsure,Acceptable
66.212.133.10,TRUE,Female,31,30-49,Black or African American,Unsure,Unacceptable,Unacceptable,Unsure
99.32.59.170,TRUE,Female,31,30-49,"Hispanic or Latino,Black or African American",Unsure,Unsure,Acceptable,Acceptable
73.107.24.99,TRUE,Male,31,30-49,Hispanic or Latino,Unacceptable,Unsure,Unsure,Acceptable
104.59.128.198,TRUE,Male,31,30-49,White,Unacceptable,Unacceptable,Acceptable,Unsure
68.174.40.253,TRUE,Male,31,30-49,Asian or Asian American,Unacceptable,Acceptable,Acceptable,Acceptable
172.221.160.210,TRUE,Female,31,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Acceptable,Unacceptable
141.156.171.61,TRUE,Male,31,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Acceptable,Acceptable
73.237.101.74,TRUE,Male,31,30-49,Hispanic or Latino,Unacceptable,Unsure,Unsure,Unacceptable
107.9.54.200,TRUE,Male,31,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
184.152.65.73,TRUE,Male,31,30-49,Black or African American,Unacceptable,Acceptable,Acceptable,Acceptable
71.9.140.156,TRUE,Male,31,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unacceptable
76.1.112.51,TRUE,Male,31,30-49,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
75.74.232.100,TRUE,Female,31,30-49,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
